query,actual,prediction,score,model,method,correct
"on-demand data elevation in hierarchical multimedia storage servers vldb p triantafillou , t papadakis nan 1997.0","on-demand data elevation in a hierarchical multimedia storage server proc . of 23rd intl. conf . on very large data bases , vldb , p triantallou , t papadakis nan 1997.0","on-demand data elevation in a hierarchical multimedia storage server proc . of 23rd intl. conf . on very large data bases , vldb , p triantallou , t papadakis nan 1997.0",78.01418439716312,rapidfuzz,fuzzy,1
"database tuning : principles , experiments , and troubleshooting techniques d shasha , p bonnet vldb 2002 nan nan nan","database tuning : principles , experiments , and troubleshooting techniques ( part i ) 2002.0 d shasha , p bonnet proceedings of the 2002 acm sigmod international conference & hellip ; , nan","d. sha sha : database tuning : principles , experiments , and troubleshooting techniques 2002.0 p bonnet nan nan",92.5764192139738,rapidfuzz,fuzzy,0
"a critique of ansi sql isolation levels sigmod conference h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil nan 1995.0","a critique of ansi sql isolation levels 1995.0 h berenson , p bernstein , j gray , j melton proceedings of the acm sigmod international conference on & hellip ; , nan","ejoâ ?? neil , and pe oâ ?? neil . a critique of ansi sql isolation levels h berenson , pa bernstein , j gray , j melton nan proceedingsof acm sigmod conference , nan",83.72093023255813,rapidfuzz,fuzzy,0
"dynamat : a dynamic view management system for data warehouses y kotidis , n roussopoulos sigmod conference 1999 nan nan nan",dynamat : a dynamic viewmanagement system fordata warehouses ykn roussopoulos proc . of the acm sigmod nan,"dynamat : a dynamic view management system for data warehouses sigmod conference , y kotidis , n roussopoulos nan 1999.0",95.08196721311475,rapidfuzz,fuzzy,0
storage and retrieval of xml data using relational databases nan nan 2001.0,"storage and retrieval of xml data using relational databases s chaudhuri , k shim data engineering , 2003 . proceedings . 19th international & hellip ; , 2003.0","on database theory and xml sigmod record , 2001.0 d suciu nan nan",65.71428571428571,rapidfuzz,fuzzy,0
"path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst . 2003 y diao , m altinel , m franklin , h zhang , p fischer nan nan","yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering y diao , m altinel , mj franklin , h zhang , p fischer acm transactions on database systems ( tods ) nan nan nan","path sharing and predicate evaluation for high-performance xml filtering y diao , m altinel , mj franklin , h zhang , p fischer nan acm transactions on database systems , 2003.0",94.18604651162791,rapidfuzz,fuzzy,0
"a raster approximation for processing of spatial joins g zimbrao , j souza vldb 1998.0","a raster approximation for processing of spatial joins g zimbrao vldb , 1998.0","a raster approximation for processing of spatial joins g zimbrao vldb , 1998.0",95.1219512195122,rapidfuzz,fuzzy,1
"ariadne : a system for constructing mediators for internet sources sigmod conference j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada nan 1998.0",". and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system jl ambite , n ashish , g barish proc . of a cm sigmod conf . on management of nan","ariadne : a system for constructing mediators for internet sources jl ambite , n ashish , g barish , ca knoblock , s nan sigmod conference , 1998.0",85.29411764705883,rapidfuzz,fuzzy,0
"client-server paradise d dewitt , n kabra , j luo , j patel , j yu vldb 1994.0","and j. yu . client-server paradise proceedings ofthe twentieth international conference on vey & hellip ; , dj dewitt , n kabra , j luo , jm pate nan nan","client-server paradise dj dewitt , n kabra , j luo , jm patel , jb yu vldb , 1994.0",94.40993788819875,rapidfuzz,fuzzy,0
"dual-buffering strategies in object bases a kemper , d kossmann vldb 1994.0","dual-buffering strategies in object bases 1994.0 a kemper , d kossmann vldb , nan","dual-buffering strategies in object bases 1994.0 a kemper , d kossmann vldb , nan",96.15384615384616,rapidfuzz,fuzzy,1
"recovering information from summary data c faloutsos , h jagadish , n sidiropoulos 1997 nan vldb nan","recovering information from summary data hv jagadish , nd sidiropoulost nan nan nan","recovering information from summary data c faloutsos , hv jagadish , n sidiropoulos vldb , nan nan 1997.0",97.5609756097561,rapidfuzz,fuzzy,0
"a performance study of transitive closure algorithms s dar , r ramakrishnan 1994 nan sigmod conference nan","a performance study of transitive closure algorithms sigmod conference , s dar , r ramakrishnan nan 1994.0","a performance study of transitive closure algorithms sigmod conference , s dar , r ramakrishnan nan 1994.0",96.22641509433963,rapidfuzz,fuzzy,1
"database techniques for the world-wide web : a survey 1998 d florescu , a levy , a mendelzon sigmod record nan","mendelzon . database techniques for the world-w ide-wide : a survey d florescu , a levy nan sigmod record , nan","database techniques for the world-wide web : a survey acm sigmod record d florescu , a levy , a mendelzon nan 1998.0",97.34513274336283,rapidfuzz,fuzzy,0
"efficient filtering of xml documents for selective dissemination of information m altinel , m franklin nan vldb 2000.0","xfilter : efficient filtering of xml documents for selective dissemination of information proceedings of the 26th vldb conference , egypt m altinel , m franklin nan nan","efficient filtering of xml documents for selective dissemination of information m altä ± nel , mj franklin nan nan",87.93103448275862,rapidfuzz,fuzzy,0
