query,actual,prediction,score,model,method,correct
motu digital performer 5 digital audio software competitive upgrade ( mac only ) motu 395.0,motu digital performer dp5 software music production software nan 319.95,cakewalk sonar 5 producer edition competative upgrade music production software nan 299.0,57.77777777777777,rapidfuzz,fuzzy,0
illustrator cs3 13 mac ed 1u adobe-education-box 199.0,adobe illustrator cs3 for mac academic adobe-education-box 199.99,adobe illustrator cs3 for mac academic adobe-education-box 199.99,77.31092436974791,rapidfuzz,fuzzy,1
microsoft word 2007 version upgrade microsoft 109.95,microsoft word 2007 upgrade ( pc ) nan 109.95,microsoft word 2007 upgrade ( pc ) nan 109.95,74.22680412371135,rapidfuzz,fuzzy,1
hoyle : classic collection 2006 encore 19.99,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp nan 18.97,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp nan 18.97,67.19999999999999,rapidfuzz,fuzzy,1
reel deal slots 2.0 for pc phantom efx 9.99,phantom efx reel deal slots v 2.0 nan 7.36,phantom efx reel deal slots v 2.0 nan 7.36,80.0,rapidfuzz,fuzzy,1
world of rainbow fish global-software-publishing 19.99,world of rainbow fish ( a9839m2h ) global-software-publishing 19.19,world of rainbow fish ( a9839m2h ) global-software-publishing 19.19,89.25619834710744,rapidfuzz,fuzzy,1
irispen express translator iris 149.99,iris inc irispen express translator nan 142.29,iris inc irispen express translator nan 142.29,85.71428571428572,rapidfuzz,fuzzy,1
snap ! spelling ( jewel case ) topics entertainment 19.95,spelling nan 4.93,topics entertainment snap ! kakuro nan 3.44,62.0,rapidfuzz,fuzzy,0
microsoft visio standard 2007 version upgrade microsoft 129.95,microsoft office visio standard 2007 upgrade ( pc ) nan 129.95,microsoft office visio standard 2007 upgrade ( pc ) nan 129.95,75.80645161290323,rapidfuzz,fuzzy,1
national geographic presents : redshift 5 planetarium software topics entertainment 39.99,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ) nan 39.99,national geographic redshift planetarium nan 17.9,62.31884057971014,rapidfuzz,fuzzy,0
logic pro 6 upgrade from logic platinum/gold 5 & 6 apple 199.99,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update apple software 149.0,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update apple software 149.0,62.0253164556962,rapidfuzz,fuzzy,1
microsoft windows vista business full version [ dvd ] microsoft 299.95,microsoft windows vista business ( pc ) nan 299.99,microsoft windows vista business full version nan 249.95,82.53968253968253,rapidfuzz,fuzzy,0
aquarium 3-in-one collection ( win/mac ) encore software 19.99,aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher ) nan 19.95,encore software 10123 aquarium 3-in-one limited edition ( eurpac ) win 95 98 me 2000 xp nan 18.97,64.15094339622642,rapidfuzz,fuzzy,0
turbocad mac 3d for mac imsi 249.99,imsi design llc turbocad mac 3d nan 204.67,imsi design llc turbocad mac 3d nan 204.67,70.12987012987013,rapidfuzz,fuzzy,1
quickbooks premier professional services edition 2007 intuit 399.95,intuit quickbooks premier professional services edition 2007 software win tax & finance software nan 349.95,intuit quickbooks premier professional services edition 2007 software win tax & finance software nan 349.95,75.86206896551724,rapidfuzz,fuzzy,1
usa/world extreme landscapes bundle abacus 39.95,abacus usa/world extreme landscapes bundle nan 38.43,abacus usa/world extreme landscapes bundle nan 38.43,90.0,rapidfuzz,fuzzy,1
autocad 2007 courseware customizing the interface autodesk psg 47.95,autocad 2007 coursewarecustomizing the interface nan 39.69,autocad 2007 coursewarecustomizing the interface nan 39.69,82.53968253968253,rapidfuzz,fuzzy,1
humorous greeting card factory nova development 29.99,nova development ghw humorous greeting card factory nova development 29.99,nova development corp humorous greeting card factory nan 28.3,87.71929824561404,rapidfuzz,fuzzy,0
burning monkey solitaire 2005 edition freeverse software 24.99,freeverse burning monkey solitaire 3d nan 24.99,freeverse burning monkey solitaire 3d nan 24.99,77.06422018348624,rapidfuzz,fuzzy,1
hp sp linux we 50 lic/cd 3.0 c t3586a ) hewlett-packard - ( consumables ) nan,sp linux we 50 lic/cd 3.0 c hewlett-packard - ( consumables ) 69216.95,sp linux we 50 lic/cd 3.0 c hewlett-packard - ( consumables ) 69216.95,82.99319727891157,rapidfuzz,fuzzy,1
microsoft office & windows training topics entertainment 29.99,microsoft office and windows training ( win 98 me nt 2000 xp ) nan 29.95,microsoft office and windows training professional nan 29.99,73.77049180327869,rapidfuzz,fuzzy,0
textbridge pro 11 nuance-communications-inc . 79.99,scansoft textbridge pro v. 11 nuance-communications-inc . 68.99,scansoft textbridge pro v. 11 nuance-communications-inc . 68.99,85.96491228070175,rapidfuzz,fuzzy,1
adobe soundbooth cs3 [ mac ] adobe 199.0,adobe soundbooth cs3 audio editing software mac music production software nan 198.95,adobe soundbooth cs3 academic nan 95.99,73.41772151898735,rapidfuzz,fuzzy,0
the print shop 22 deluxe encore 49.99,the printshop v22 deluxe nan 29.9,encore inc print shop 22 deluxe nan 42.69,79.48717948717949,rapidfuzz,fuzzy,0
computrace lojack for laptops 4 year subscription absolute software 119.99,absolute software lfl-n2-48 computrace lojack for laptops 4 year license nan 105.68,computrace lojack for laptops 3 yr subscription nan 89.99,79.38931297709924,rapidfuzz,fuzzy,0
namo webeditor 2006 namo 99.99,csdc namo webeditor suite 2006 nan 83.92,csdc namo webeditor suite 2006 nan 83.92,71.42857142857143,rapidfuzz,fuzzy,1
